Date,Clicks,Impressions,CTR,Position
2026-07-19,0,0,,
2026-07-20,0,24,0%,2.8
2026-07-21,0,15,0%,19.9
2026-07-22,4,119,3.36%,76.9
2026-07-23,0,178,0%,78.1
2026-07-24,0,328,0%,74.8
2026-07-25,0,366,0%,77.5
2026-07-26,0,322,0%,77.5
2026-07-27,0,259,0%,79.9
2026-07-28,0,195,0%,86.3
2026-07-29,0,188,0%,85
2026-07-30,0,136,0%,83.4
2026-07-31,0,181,0%,83.3
2026-08-01,0,183,0%,83.7
2026-08-02,0,216,0%,83.3
2026-08-03,1,146,0.68%,83.5
2026-08-04,0,137,0%,82.3
2026-08-05,0,143,0%,79.9
2026-08-06,1,159,0.63%,81.2
2026-08-07,0,122,0%,85
2026-08-08,0,132,0%,86
2026-08-09,0,165,0%,85.3
2026-08-10,0,175,0%,83.9
2026-08-11,0,401,0%,79.7
