Country,Clicks,Impressions,CTR,Position
Portugal,2,6,33.33%,54.17
Indonesia,1,33,3.03%,53.58
Singapore,1,20,5%,58.6
South Korea,1,12,8.33%,132.08
Czechia,1,6,16.67%,49.33
United States,0,2037,0%,83.7
United Kingdom,0,450,0%,85.96
Argentina,0,196,0%,77.69
Poland,0,157,0%,83.84
India,0,126,0%,70.67
Canada,0,122,0%,77.84
Australia,0,119,0%,82.28
Germany,0,112,0%,82.78
Ukraine,0,96,0%,77.2
Netherlands,0,65,0%,83.14
Russia,0,59,0%,68.97
Belarus,0,46,0%,68.11
Brazil,0,44,0%,58.57
Vietnam,0,43,0%,37.49
Spain,0,35,0%,69.11
Philippines,0,26,0%,66.46
Albania,0,26,0%,86.46
Qatar,0,23,0%,83.43
Austria,0,22,0%,80.45
France,0,20,0%,80.2
Bangladesh,0,18,0%,70.11
Norway,0,18,0%,82.33
Andorra,0,18,0%,86.94
Israel,0,14,0%,73.64
Pakistan,0,13,0%,55.92
Thailand,0,13,0%,62.38
Ireland,0,13,0%,90.69
Sweden,0,12,0%,71.5
United Arab Emirates,0,12,0%,76.92
Ghana,0,10,0%,78.2
Myanmar (Burma),0,10,0%,85.9
Malaysia,0,9,0%,38.67
Mexico,0,8,0%,48.25
Saudi Arabia,0,8,0%,50.12
Italy,0,7,0%,64
Jordan,0,7,0%,66.86
Switzerland,0,7,0%,70.86
Latvia,0,7,0%,75.86
Sri Lanka,0,7,0%,79.57
Denmark,0,7,0%,91.29
Hungary,0,6,0%,68.17
Colombia,0,6,0%,69.17
Lithuania,0,6,0%,74.5
Belgium,0,6,0%,74.67
Romania,0,6,0%,80.17
New Zealand,0,6,0%,84.67
Greece,0,6,0%,85.67
Nigeria,0,6,0%,86
Turkey,0,5,0%,32.6
Egypt,0,5,0%,65.8
Finland,0,5,0%,75
South Africa,0,5,0%,83.4
Georgia,0,5,0%,83.6
Azerbaijan,0,5,0%,85.2
Algeria,0,5,0%,85.6
Morocco,0,4,0%,61.75
Cyprus,0,4,0%,65.25
Bulgaria,0,4,0%,87
Slovakia,0,4,0%,92.5
Costa Rica,0,3,0%,50.33
Ecuador,0,3,0%,59
Japan,0,3,0%,69.33
Malta,0,3,0%,81.67
Botswana,0,3,0%,83.67
Slovenia,0,3,0%,85.33
Serbia,0,3,0%,87.67
China,0,2,0%,26
Lebanon,0,2,0%,49.5
Afghanistan,0,2,0%,61.5
Chile,0,2,0%,69
Ethiopia,0,2,0%,73.5
Cambodia,0,2,0%,78.5
Kuwait,0,2,0%,81.5
Tunisia,0,2,0%,82
Jamaica,0,2,0%,84
Hong Kong,0,2,0%,84.5
Bosnia & Herzegovina,0,2,0%,86.5
Liechtenstein,0,2,0%,87.5
Bahrain,0,2,0%,92
Iceland,0,2,0%,92.5
Estonia,0,2,0%,93
Kenya,0,2,0%,95.5
Senegal,0,1,0%,10
Unknown Region,0,1,0%,23
Venezuela,0,1,0%,43
Rwanda,0,1,0%,52
Moldova,0,1,0%,72
Bolivia,0,1,0%,75
Uzbekistan,0,1,0%,75
Burkina Faso,0,1,0%,79
Cuba,0,1,0%,80
Dominican Republic,0,1,0%,83
Palestine,0,1,0%,86
Macedonia,0,1,0%,87
Nepal,0,1,0%,87
Iraq,0,1,0%,89
Chad,0,1,0%,89
Namibia,0,1,0%,94
Congo - Kinshasa,0,1,0%,98
Bahamas,0,1,0%,99
Taiwan,0,1,0%,100
